Name,Link,Universe,Other Aliases,Education,Place of Origin,Identity,Known Relatives
Detroit Steel,https://www.marvel.com/characters/detroit-steel-sasha-hammer,['Marvel Universe'],,,,['Publicly known'],"['Justine Hammer (Crimson Cowl, mother), Mandarin (father), Justin Hammer (maternal grandfather)']"
Devastator,https://www.marvel.com/characters/devastator-kirkov-petrovna,['Marvel Universe'],['Captain Peter Kirkman'],['Unrevealed'],['Unrevealed'],['Known to authorities'],['Unrevealed']
Devil Dinosaur,https://www.marvel.com/characters/devil-dinosaur,,,,,,
Devil-Hunter Gabriel,https://www.marvel.com/characters/devil-hunter-gabriel,['Marvel Universe'],['None'],"['Ordained as priest, self-educated in the occult']",['Unrevealed'],['No dual identity'],"['Andrea Gabriel (wife, deceased); Desadia (common-law wife)']"
Devil-Slayer,https://www.marvel.com/characters/devil-slayer,['Marvel Universe'],"['Agent of Death, The Reaper of Souls']","['High school graduate, military training']","['Queenstown, Illinois']",['Publicly known'],"['Cory Payne (wife, deceased)']"
Devos,https://www.marvel.com/characters/devos,['Marvel Universe'],['The Devastator'],['Combat trained'],['Unidentified planet'],['Not known to the general populace of Earth'],['None']
Dewoz,https://www.marvel.com/characters/dewoz,['Marvel Universe'],['Woz'],['Unrevealed'],['Unrevealed'],['Unknown to the general populace of Earth'],['None known']
Dexam,https://www.marvel.com/characters/dexam,['Marvel Universe'],['None'],['Unrevealed'],['Homeworld'],['Secret'],['None']
Diableri,https://www.marvel.com/characters/diableri,['Marvel Universe'],['Unrevealed'],['Unrevealed'],['The Living Universe'],"[""Inapplicable; the general populace of Earth is unaware of Diableri's existence.""]",['Unknown']
Diablo,https://www.marvel.com/characters/diablo-esteban-de-ablo,['Marvel Universe'],['None'],['Unrevealed'],"['Saragossa, Spain']",['Publicly known'],['Unrevealed']
Diabolique,https://www.marvel.com/characters/diabolique,['Marvel Universe'],['Witch-Child. Diane Bolick'],['Unrevealed'],['Unrevealed'],['No dual identity'],['Unrevealed; numerous surrogate parents']
Diamond Lil,https://www.marvel.com/characters/diamond-lil,['Marvel Universe'],"['""Creepy"" Crawley']",['High school graduate'],"['Yellowknife, Northwest Territories, Canada']",['Secret (known to Canadian government officials)'],"['Madison Jeffries (Box/Gemini, estranged husband), Lionel Jeffries (Scramble/Gemini, brother-in-law, deceased)']"
Diamondback,https://www.marvel.com/characters/diamondback-rachel-leighton,['Marvel Universe'],['Snapdragon'],['Unrevealed'],"['Austin, Texas']",['Known to the authorities'],"['Mrs. Leighton (mother), William ""Willy"" Leighton (brother, deceased), Richard ""Ricky"" Leighton (brother, deceased), Danny Leighton  (Cutthroat, brother)']"
Diamondback,https://www.marvel.com/characters/diamondback-willis-stryker,,,,,,
Diemoas,https://www.marvel.com/characters/diemoas,['Marvel Universe'],"['King Diemoas, Majesty']",['Unrevealed'],['Giausar'],['Secret'],['Unrevealed']
Digger,https://www.marvel.com/characters/digger-roderick-krupp,['Marvel Universe'],['None Known'],['Unrevealed'],['Unrevealed'],['Known to the police'],['Unrevealed']
Digger,https://www.marvel.com/characters/digger-the-vegas-thirteen,['Marvel Universe'],['The Vegas Thirteen'],['N/A'],['Various'],['Known to legal authorities'],['N/A']
Digitek,https://www.marvel.com/characters/digitek,['Marvel Universe'],"[""'The Singlularity'""]",['Ph.D in electrical engineering'],"['Sutton Coldfield, West Midlands, England, United Kingdom']",['Known to authorities'],"['Samantha Bryant (wife, nee Russell)']"
Dimitri the Science Boy,https://www.marvel.com/characters/dimitri-the-science-boy,,,,,,
Dinah Soar,https://www.marvel.com/characters/dinah-soar,['Marvel Universe'],"[""Wisconsin's Winged Wonder, Ms. Rodan '97""]",['Unrevealed'],['Unrevealed (possibly Savage Land)'],['Known to authorities'],"[""Unrevealed (possibly related to the Savage Land's Nhu'Gai race)""]"
Dirt Nap,https://www.marvel.com/characters/dirt-nap,['Marvel Universe'],"['Impersonated special agent Daryll Smith, Wolverine, Venom (Eddie Brock), others']",['Unrevealed'],['Unrevealed'],['Secret'],['None']
Dirty Wolff,https://www.marvel.com/characters/dirty-wolff,['Marvel Universe'],"['Daddy Killer, Great Deathbringer, Mon-Tel, Violator of Worlds']",['Unrevealed'],['Benzwezil'],['Secret'],['None']
Ditto,https://www.marvel.com/characters/ditto,['Marvel Universe'],['Ditto'],['Unknown'],['Unknown'],['Secret'],['Unknown']
Divinity Drake,https://www.marvel.com/characters/divinity-drake,['Marvel Universe'],['None'],['Unrevealed'],['Sumeria'],['Secret'],['None']
Doc Samson,https://www.marvel.com/characters/doc-samson,['Marvel Universe'],['Samson'],['Ph.D. in psychiatry'],"['Tulsa, Oklahoma']",['Publicly known'],['Ricky Myers (son)']
Doctor Bong,https://www.marvel.com/characters/doctor-bong,['Marvel Universe'],['None'],"['Advanced degree in journalism, genetics, and psychology']",['Unrevealed'],['Secret'],['Bong Quintuplets (cloned offspring); Unnamed ex-wife; Mrs. Verde (mother)']
Doctor Doom,https://www.marvel.com/characters/doctor-doom-earth-928,['Marvel 2099 (Earth-928)'],['Doctor Doom'],['Unrevealed'],['Unrevealed'],['Secret'],"['General Tibor Diaghilev Czerny (father, deceased)']"
Doctor Doom,https://www.marvel.com/characters/doctor-doom-ultimate,['Ultimate'],,,['Belgium'],['Secret'],['Unidentified father']
Doctor Doom,https://www.marvel.com/characters/doctor-doom-victor-von-doom,,,,,,
Doctor Dredd,https://www.marvel.com/characters/doctor-dredd,['Marvel Universe'],,"['Unrevealed, although he is very knowledgeable in sorcery and black magic']",['Unrevealed location on Wraithworld'],"[""Publicly known on Wraithworld; the general populace of Earth is unaware of Dredd's existence""]",['None']
Doctor Druid,https://www.marvel.com/characters/doctor-druid,['Marvel Universe'],"['Anthony Droom, Doctor Droom, Druid, Guntag Borgheim, the Midnight Eye, Master of the  Unknown, Scott']","['MD from Harvard, degree in psychiatry']",['Unrevealed'],['Publicly known'],"['Amergin (ancestor, deceased)']"
Doctor Erik Selvig,https://www.marvel.com/characters/doctor-erik-selvig,,,,,,
Doctor Everything,https://www.marvel.com/characters/doctor-everything,['Marvel Universe'],['None'],['Unrevealed'],['Unrevealed'],['Secret'],['Unrevealed']
Doc Ock,https://www.marvel.com/characters/doctor-octopus-otto-octavius,,,,,,
Doctor Octopus,https://www.marvel.com/characters/doctor-octopus-ultimate,['Ultimate Universe'],['Doc Ock; Ock'],['Ph.D. in various sciences'],['Unknown'],['Public'],['Roselita Octavius (Wife)']
Doctor Stephen Strange,https://www.marvel.com/characters/doctor-stephen-strange-earth-58163,['House of M'],['None'],['Medical doctorate; Ph.D in Psychology'],"['Philadelphia, Pennsylvania']",['No dual identity'],"['Eugene (father, deceased), Beverly (mother, deceased), Donna (sister, deceased), Victor (brother, deceased)']"
Doctor Strange,https://www.marvel.com/characters/doctor-strange-stephen-strange,,,,,,
Doctor Sun,https://www.marvel.com/characters/doctor-sun,['Marvel Universe'],['H.E.R.B.I.E.'],['Unrevealed'],['Unrevealed'],['Secret'],['Unrevealed']
Doctor Vere,https://www.marvel.com/characters/doctor-vere,['Marvel Universe'],,['Unrevealed'],['Unrevealed'],['Secret'],['Unknown']
Doctor Voodoo,https://www.marvel.com/characters/doctor-voodoo-jericho-drumm,['Marvel Universe'],"['Brother Voodoo, Houngan Supreme, Lord of the Loa, He-Who-Has-Died-Twice, Voodoo Lord; Master of All Reptiles, the Voudoun, and the Spirit World']","['Ph.D. in Psychology, extensive voodoo training']","['Port-au-Prince, Haiti']",['Publicly known'],"['Daniel (brother, deceased); Collette (niece)']"
Dog Brother Number 1,https://www.marvel.com/characters/dog-brother-number-1,['Marvel Universe'],['None'],['Unrevealed'],['Possibly Hong Kong'],['Secret'],"['Unidentified father (deceased), unidentified mother (deceased)']"
Doghead,https://www.marvel.com/characters/doghead,['Marvel Universe'],['Chio Chulindo'],['Unrevealed'],['Ecuador'],['Secret'],['None known']
Dogpool,https://www.marvel.com/characters/dogpool-earth-103173,"['Earth-103173, Marvel Universe']","['Immortal Dog, Death Defying Hound, ""Deadpool, the Daredevil Dog,""']",['Unrevealed'],['Unrevealed location on Earth-103173'],['No dual identity'],['None']
Dominex,https://www.marvel.com/characters/dominex,['Marvel Universe'],['None'],['N/A'],['First activated in the Arizona desert'],['No dual identity'],['N/A']
Dominic Fortune,https://www.marvel.com/characters/dominic-fortune-duvid-fortunov,,['Davey Fortunov'],['Unrevealed (did not attend college)'],"['New York City, New York']",['Publicly known'],"['Unidentified mother (presumably deceased), Jerry (son, deceased), Betty (daughter-in-law); daughter, wife (deceased), two grandsons, granddaughter (all unidentified)']"
Domino,https://www.marvel.com/characters/domino-age-of-apocalypse,['Age of Apocalypse'],['None'],['Unrevealed'],['Unrevealed'],['Publicly known'],['Unrevealed']
Domino,https://www.marvel.com/characters/domino-neena-thurman,,,,,,
Domo,https://www.marvel.com/characters/domo,['Marvel Universe'],,,,,
Don of the Dead,https://www.marvel.com/characters/don-of-the-dead,['Marvel Universe'],['El Don De Los Muertos'],['SHIELD training'],['Unrevealed'],['Secret'],['Unrevealed']
Donald Pierce,https://www.marvel.com/characters/donald-pierce,['Marvel_Universe'],"['White Bishop, White King']",['Unreavealed'],['Unrevealed'],['Secret'],['Anton Pierce (Great Grandfather)']
Donald Pierce,https://www.marvel.com/characters/donald-pierce-age-of-apocalypse,['Age of Apocalypse'],['None'],['Unrevealed'],['Unrevealed'],['Known to the general public'],['Unrevealed']
Doom,https://www.marvel.com/characters/doom-earth-58163,['House of M'],['None'],['College studies in the sciences (expelled before completion of degree); self-educated to doctorate level and beyond in most sciences'],"['A camp outside Haasenstadt (now Doomstadt), Latveria']",['Publicly known'],"['Werner  (father, deceased), Cynthia  (mother), Kristoff  (Torch, son), Valeria  (Invincible Woman, wife)']"
Doom,https://www.marvel.com/characters/doom-earth-928,['Marvel 2099 (Earth-928)'],"['The Master, Invincible Man, Vincent Vaughn, Hans; has also inhabited the bodies of Daredevil, Norman McArthur and the Fantastic Four']",['College studies in the sciences (expelled before completion of degree); self-educated to graduate level and beyond in most sciences; self-taught knowledge of the mystic arts'],"['A camp outside Haasenstadt (now Doomstadt), Latveria']",['Publicly known'],"['Werner von Doom (father, deceased), Cynthia von Doom (mother, deceased); Kang, his counterparts, and offspring (alleged descendants)']"
Doombringer,https://www.marvel.com/characters/doombringer,['Marvel Universe'],['Walker between Worlds'],['Unrevealed'],['Unidentified dimension'],['Secret'],['Presumably other members of his race']
Doop,https://www.marvel.com/characters/doop,['Marvel Universe'],['Possibly Daap'],['Unrevealed'],['Unrevealed'],['No dual identity'],['Mama Doop']
Doorman,https://www.marvel.com/characters/doorman-demarr-davis,['Marvel Universe'],['Unrevealed'],['Unrevealed'],['Unrevealed'],['Secret'],['Unrevealed']
Doppelganger,https://www.marvel.com/characters/doppelganger-infinity-war,['Marvel Universe'],"['The Spider-Man Doppelganger, Spider-Doppelganger, Mindless One']","['Limited mental conditioning, slight capacity for behavioral changes']",['The Dimension of Manifestations'],['Unknown to the general populace of Earth'],"['Anthropomorpho (creator); Hellspawn, Moonshade, many other doppelgangers (brethren)']"
DORMA,https://www.marvel.com/characters/dorma,['Marvel Universe'],['The Lady Dorma'],['Unrevealed'],['Atlantis'],['Publicly Known'],"['Namor (cousin/husband), Wathan (father, presumed deceased), Wa-Korr (grabdfather), presumed deceased); Aquaria Nautica Neptunia (Namora), Arkus, Beemer, Bobo, Byrrah (deceased), Byrrahna, Daka, Dara (deceased), Fen, (deceased), Immamu (deceased), Korra (presumed deceased), Namita, Namorita (deceased), Seth, Thakorr (deceased), Zarina (cousins)']"
Dormammu,https://www.marvel.com/characters/dormammu,,,,,,
Doug Ramsey,https://www.marvel.com/characters/doug-ramsey-age-of-apocalypse,['Age of Apocalypse'],['Doug'],['Unrevealed'],['Unrevealed'],"['Secret, known to citizens of Avalon']","['Irene Adler (Destiny, adoptive mother)']"
Doyle Dormammu,https://www.marvel.com/characters/doyle-dormammu,,,,,,
Dr. Arthur Harrow,https://www.marvel.com/characters/arthur-harrow,,,,,,
Dr. Henry,https://www.marvel.com/characters/dr-henry-hank-p-mccoy-earth-58163,['House of M'],['None'],['Ph.D. in Biochemistry'],"['Dunfee, Illinois']",['No dual identity'],"['Sadie  (grandmother), Edna  (mother), Norton  (father), Robert  (uncle)']"
Dr. Nicodemus West,https://www.marvel.com/characters/dr-nicodemus-west,,,,,,
Dracula,https://www.marvel.com/characters/dracula,['Marvel Universe'],"['Count Dracula, the Devil, Dr. Vlad, Dragon, Drake, Justin Drake, Father Death, the Impaler, Kaziglu Bey/Impaler Prince, Prince of Darkness, Vladimir Tepesch, Satan, Lord of the Damned, Undead, Vampires, Lord of the Undead, Lord of Vampires,” Vlad Tepes” (“Vlad the Impaler”)']",['Tutored by finest instructors of the 15th century; extensively self-taught'],"['Schassburg, Transylvania (now Sighisoara, Romania)']",['True nature disbelieved by general public; no dual identity'],"['Vlad Dracul (Vlad the Elder, father, deceased); Mircea, Radu the Handsome (brothers, deceased); Prince Basarab the Great (ancestor), Prince Mircea the Old (grandfather), Stephen Bathory (cousin); Zofia, Maria (wives, deceased); Domini (wife, separated); Vlad Tepulus (deceased), Janus Tepes (sons); Lilith (daughter), Frank Drake (descendant by Tepulus)']"
Dragon Man,https://www.marvel.com/characters/dragon-man,['Marvel Universe'],['None'],['None'],['A State University Lab'],['Publicly Known'],['Professor Gilbert (creator)']
Dragon of the Moon,https://www.marvel.com/characters/dragon-of-the-moon,['Marvel Universe'],"['""Rat-King""']",['Unrevealed'],['Unrevealed'],"[""The general populace of Earth is unaware of the Dragon of the Moon's existence.""]","['Set (father), Damballah, Phorcys,Siapep, Sligguth, Yamato-no-Orichi (brothers), Ishiti, Tartessus, (sisters), Demiurge (""grandfather""), Chthon, Hyppus (uncles), Gaea, Oshtur (aunts), large extended family via Set and other Elder Gods']"
Dragoness,https://www.marvel.com/characters/dragoness,['Marvel Universe'],['None'],['Unrevealed'],['Unrevealed'],['Secret'],['None']
Dragonfly,https://www.marvel.com/characters/dragonfly-veronica-dultry,['Marvel Universe'],['None'],['Unrevealed'],['Unrevealed'],['Known to the authorities'],['Margeret Dultry (sister)']
Drax,https://www.marvel.com/characters/drax,,,,,,
Dreadknight,https://www.marvel.com/characters/dreadknight,['Marvel Universe'],['None'],['Degree in Engineering'],"['Schonstadt, Latveria']",['Secret'],['Unrevealed']
Dreamqueen,https://www.marvel.com/characters/dreamqueen,['Marvel Universe'],['None'],"[""Inherited her mother's memories.""]",['Liveworld (the pocket dream dimension that the Dreamqueen rules)'],['No dual identity'],"['Nightmare (father), Zhilla Char (Mother, deceased), Daydream (half-sister), Trauma (Terrence Ward, half-brother), unidentified grandmother (deceased), other distant relations through Nightmare']"
Drinn,https://www.marvel.com/characters/drinn,['Marvel Universe'],['None'],['Unrevealed'],['Unrevealed'],['Secret'],['None']
Drom,https://www.marvel.com/characters/drom,['Marvel Universe'],['The Backwards Man'],"['Unrevealed, but Drom may have been schooled in various sciences and engineering']",['Unrevealed'],['Secret'],['Unrevealed']
Dro’ge Fenu Edu,https://www.marvel.com/characters/droge-fenu-edu,['Marvel Universe'],,,,,
Druffs,https://www.marvel.com/characters/druffs,['Marvel Universe'],,,,,
Druid Walsh,https://www.marvel.com/characters/druid-walsh,['Marvel Universe'],['None'],"['High school drop-out, trained by US military']",['Unrevealed'],['Publicly known'],['Unrevealed']
Druig,https://www.marvel.com/characters/druig,,,,,,
Duncan Vess,https://www.marvel.com/characters/duncan-vess,['Marvel Universe'],['None known'],['Unrevealed'],['Unrevealed'],['Publicly known'],['None']
Dusk,https://www.marvel.com/characters/dusk,['Marvel Universe'],['Shadow Sister'],['Unrevealed'],"['Unrevealed, possibly the Hellhole']",['Secret'],['Dawn']
Dusk,https://www.marvel.com/characters/dusk-cassie-st-commons,['Marvel Universe'],['None'],['College student at Empire State University'],['Unrevealed'],['Secret'],['Unrevealed']
Dusk,https://www.marvel.com/characters/dusk-demon,['Marvel Universe'],,['Unrevealed'],['Realm of Madness'],['Secret'],['None known']
Dust,https://www.marvel.com/characters/dust,['Marvel Universe'],['Turaab (Dust in Arabic)'],['High school level classes'],['Western Afghanistan'],['Known to authorities'],"['Mirah Qadir (mother), unidentified father']"
Dwarf,https://www.marvel.com/characters/dwarf,['Marvel Universe'],['The Darkhold Dwarf'],"['Unrevealed, although it is known that Dwarf has a vast understanding of the pages from the ""Book of Sins.""']",['Unrevealed'],['The general populace of Earth is unaware of the Dwarf existence.'],['Unrevealed']
Dweller-In-Darkness,https://www.marvel.com/characters/dweller-in-darkness,['Marvel Universe'],['He Who Dwells in Darkness'],['Self-educated'],['Everinnye'],['Existence unknown to general public'],"['Nightmare (""cousin"") and his relatives; D\'spayre, Spite (creations), D\'Sprytes (""grandchildren""), alleged spawn of the Old One Cthulu']"
Earth Lord,https://www.marvel.com/characters/earth-lord,['Marvel Universe'],['None'],['Unrevealed'],['Unrevealed'],['Secret'],"['Marge Brock (wife), unidentified children']"
Earthmover,https://www.marvel.com/characters/earthmover,['Marvel Universe'],['Chuck'],['College graduate'],['Unrevealed'],"['Secret, publicly known as hockey player']",['Unidentified']
Earthquake,https://www.marvel.com/characters/earthquake,['Marvel Universe'],['None'],,"[""Unrevealed planet in the Shi'ar Empire""]",['Secret'],['None']
East Wind,https://www.marvel.com/characters/east-wind,['Marvel Universe'],['None'],['Unrevealed'],['Unrevealed'],['Secret'],['Unrevealed']
East Wind,https://www.marvel.com/characters/east-wind-higashi,['Marvel Universe'],['None'],['Unrevealed'],['Unrevealed'],['No dual identity'],['None']
East Wind,https://www.marvel.com/characters/east-wind-predecessor,['Marvel Universe'],,['Unrevealed'],['Unrevealed'],['No dual identity'],['None']
Ebony Maw,https://www.marvel.com/characters/ebony-maw,,,,,,
Ecce The Watcher,https://www.marvel.com/characters/ecce-the-watcher,['Marvel Universe'],['The Watcher'],"[""Extensive education on Watchers'homeworld""]","[""Watchers' homeworld""]",['No dual indentity'],['unknown']
Ecdysiast,https://www.marvel.com/characters/ecdysiast,['Marvel Universe'],['Unrevealed'],"['Unrevealed, but apparently trained in the art of erotic dance']",['Unrevealed'],['Secret'],['Unrevealed']
Maya Lopez,https://www.marvel.com/characters/echo-maya-lopez,,,,,,
Eclipse,https://www.marvel.com/characters/eclipse,,,,,,
Edifice Rex,https://www.marvel.com/characters/edifice-rex,['Marvel Universe'],['Edifice Rex'],['Unrevealed'],"['Humble, Texas']",['Known to authorities'],['None']
Edwin Jarvis,https://www.marvel.com/characters/edwin-jarvis,['Marvel Universe'],['Crimson Cowl'],['University graduate'],"['Brooklyn, New York City, New York']",['Publicly known'],['Mrs. Jarvis (mother)']
Eel,https://www.marvel.com/characters/eel-edward-lavell,['Marvel Universe'],['Sylvester “Snake” Marston'],['Unrevealed'],['Unrevealed'],['Known to the authorities'],['Unrevealed']
Eel,https://www.marvel.com/characters/eel-leopold-stryke,['Marvel Universe'],['None'],['Unrevealed'],['Unrevealed'],['Known to the authorities'],"['Jordan Stryke (a.k.a. Jordan Dixon, Viper, brother, deceased)']"
Egg,https://www.marvel.com/characters/egg-fabio-medina,['Marvel Universe'],['Goldballs'],,,,
Egghead,https://www.marvel.com/characters/egghead-automation,['Marvel Universe'],['None'],['Unrevealed'],['a fascist microscopic universe'],['No dual identity'],['Unrevealed']
Egghead,https://www.marvel.com/characters/egghead-elihas-starr,['Marvel Universe'],['Carl Striker'],['Advanced degrees in major sciences'],"['Queens, New York City, New York']",['Publicly known'],['Patricia “Trish” Starr (niece)']
Egghead,https://www.marvel.com/characters/egghead-proto-husk,['Marvel Universe'],['None'],['Unrevealed'],"['Arnim Zola’s laboratory; Dallas, Texas']",['Secret'],['Unrevealed']
Ego,https://www.marvel.com/characters/ego,,,,,,
El Gato,https://www.marvel.com/characters/el-gato-luis-anaya,['Marvel Universe'],"['The Cat, Brujo']",['El Gato is well versed in the mystic arts'],['Unrevealed'],['Publicly Known'],['Unrevealed']
El Guapo,https://www.marvel.com/characters/el-guapo,['Marvel Universe'],"['""The Handsome One""']",,,['known'],
El Muerto,https://www.marvel.com/characters/el-muerto,['Marvel Universe'],['None'],"['High school graduate, wrestling training']","['Magdalena de Kino, Sonora, Mexico']",['Secret'],"['Marcus Estrada (El Muerto, father, deceased)']"
el Tigre,https://www.marvel.com/characters/el-tigre-juan-meroz,,"['El Tigre, Kukulcan']",,,,
El Toro Rojo,https://www.marvel.com/characters/el-toro-rojo,['Marvel Universe'],['The Red Bull'],['Unrevealed'],['Unrevealed'],['Known'],['Unrevealed']
Elaine Banner Walters,https://www.marvel.com/characters/elaine-banner-walters,,,,,,
Elder Demon,https://www.marvel.com/characters/elder-demon,['Marvel Universe'],['None'],['Unrevealed'],['Unrevealed'],['Secret'],['Unrevealed']
Ellie Camacho,https://www.marvel.com/characters/eleanor-ellie-camacho,['Marvel Universe'],,,,,"['Wade Wilson (Deadpool, father), Carmelita Camacho (mother, deceased), Shiklah (step-mother), Jennifer Kale (step-mother), Joshua Ulter (foster father, deceased), Emily Preston (foster mother), Terry Preston, Sr. (foster father), Terry Preston, Jr. (foster brother), Thomas Wilson (paternal grandfather, deceased), Hailey Wilson (paternal grandmother, deceased), unnamed maternal grandfather (deceased), unnamed maternal grandmother']"
Eleanor Bishop,https://www.marvel.com/characters/eleanor-bishop,,,,,,
Electro,https://www.marvel.com/characters/electro-maxwell-dillon,,,,,,
Electro,https://www.marvel.com/characters/electro-ultimate,['Ultimate'],,['Unknown'],['Unknown'],['Known to authorities'],['Unidentified mother']
Electron,https://www.marvel.com/characters/electron,['Marvel Universe'],['None'],,"[""The Aerie, Shi'ar Empire""]",['Secret'],['None']
Elektra,https://www.marvel.com/characters/elektra,,,,,,
Elektra Natchios,https://www.marvel.com/characters/elektra-natchios-ultimate,['Ultimate'],['El'],['Columbia University undergraduate'],['unknown'],['no dual identity'],"['Unidentified mother (deceased), Dimitris Natchios (father), Irene (aunt), Paul Natchios (second cousin), Leander Natchios (second cousin)']"
Elena Chavez,https://www.marvel.com/characters/elena-chavez,,,,,,"['Amalia Chavez (wife), America Chavez (daughter), Catalina Chavez (daughter)']"
Eleven,https://www.marvel.com/characters/eleven,['Marvel Universe'],['None'],['Unrevealed'],['Unrevealed'],['Secret'],['Unrevealed']
Elixir,https://www.marvel.com/characters/elixir,['Marvel Universe'],"['Black Bishop, Golden Boy']",['High school with knowledge equivalent to a Ph.D. in  biochemistry'],"['Flushing, Queens, New York']",['Known to authorities'],"['Howard Foley (father), Grace Foley (mother), two unidentified older brothers, Danielle Moonstar, (Dani Moonstar, legal guardian)']"
Elloe Kaifi,https://www.marvel.com/characters/elloe-kaifi,['Marvel Universe'],['None'],['Elloe was privileged to a classical education in the Secondary Forums.'],"['Rundi, Okiini Province']","[""Publicly known on the planet of Sakaar; the general populace of Earth is unaware of Elloe's existence.""]",['Ronan Kaifi (father)']
Elsa Bloodstone,https://www.marvel.com/characters/elsa-bloodstone,,,,,,
Elysius,https://www.marvel.com/characters/elysius,['Marvel Universe'],['Mistress of Paradise'],['Unrevealed'],"['Titan, moon of Saturn']","[""The general populace of Earth is unaware of Elysius' existence.""]","['Genis-Vell (Photon, son, deceased), Phyla-Vell (Quasar, daughter)']"
Emil Nikos,https://www.marvel.com/characters/emil-nikos,,,,,,
Emily Bright,https://www.marvel.com/characters/emily-bright,,,,,,
Emma Frost,https://www.marvel.com/characters/emma-frost,['Marvel Universe'],"['Black Queen, White Queen, ""Em""']","['MA in psychotherapy with concentration in sexology, BS in business administration']","['Boston, Massachusetts']",['Publicly known'],"['Winston Frost (father), Hazel Frost (mother), Cordelia Frost (sister), Adrienne Frost (sister, deceased), Christian Frost (brother), Steven (full name unrevealed, brother-in-law, deceased), Jocasta (cousin), Stepford Cuckoos (daughters)']"
Emma Frost-Summers,https://www.marvel.com/characters/emma-frost-summers-earth-58163,['House of M'],['None'],['Doctorate in Child Psychology'],"['Boston, Massachusetts']",['Publicly Known'],"['Scott Summers (husband), Winston (father), Hazel (mother), Cordelia (sister), Adrienne (sister, deceased), Christian (brother), Summers family (in-laws)']"
Emma Steed,https://www.marvel.com/characters/emma-steed,['Marvel Universe'],"['Ms, Steed, formerly Black Queen']",['Unrevealed'],['Unrevealed'],['No dual identity'],['None']
Emplate,https://www.marvel.com/characters/emplate,['Marvel Universe'],['Formerly M-Plate (with sisters)'],['High school graduate'],"['Algiers, Algeria']",['Secret'],"['Cartier St. Croix (father), unidentified mother (deceased), Monet St. Croix (M, sister), Claudette St. Croix (sister), Nicole St. Croix (sister), Penance (possible relationship)']"
Emrys Killebrew,https://www.marvel.com/characters/emrys-killebrew,['Marvel Universe'],['Killebrew'],"['P.H.D.s in genetics, cybernetics, etc.']","['Unrevealed, presumably Canada']",['No dual identity'],['None']
Enchantress,https://www.marvel.com/characters/enchantress-amora,,,,,,
Enforcer,https://www.marvel.com/characters/enforcer-mike-nero,['Marvel Universe'],['None'],"['Unrevealed, but Nero has been trained in the mystic arts and is an expert on the supernatural']",['Unrevealed'],['Secret'],"['Charles Delazny (uncle, deceased)']"
Enigmo,https://www.marvel.com/characters/enigmo-deviant,['Marvel Universe'],['None'],['Unrevealed'],['Unrevealed'],['Known'],['Unrevealed']
Enmity,https://www.marvel.com/characters/enmity,['Marvel Universe'],['None'],['Unrevealed'],['Unrevealed'],['No dual identity'],"['Eternity (father), Entropy, Epiphany, Expediency, Empathy, Eulogy (all siblings)']"
Enrico,https://www.marvel.com/characters/enrico-earth-311,['Marvel 1602 (Earth-311)'],"['Grand Inquisitor, Enrique']",['Unrevealed'],"['Venice, Italy']",['Secret'],"['Petros (son), Sister Wanda (daughter)']"
Eon,https://www.marvel.com/characters/eon,['Marvel Universe'],['None'],['Eon had observed a wide range of events since the beginning of this universe and had learned many things based on these observations.'],,['Cosmic Entity whose existence was unknown to the majority of the populace of Earth'],['Epoch (offspring)']
Epiphany,https://www.marvel.com/characters/epiphany,['Marvel Universe'],['Unrevealed'],['Unrevealed'],['Unrevealed'],['Unknown to the general inhabitants of the Universe'],"['Eternity (father), Empathy, Enmity, Entropy, Eulogy, Expediency,  (all siblings)']"
Epoch,https://www.marvel.com/characters/epoch,['Marvel Universe'],['None'],['Has learned a great deal through observation and studying at various intergalactic universities.'],,['Cosmic Entity whose existence is unknown to the majority of the populace of Earth'],['Eon (father)']
Ereshkigal,https://www.marvel.com/characters/ereshkigal,['Marvel Universe'],"['Hecate, Lisa, Queen of Darkness, Holly Dedra ""H.D"" Steckley']",['Unrevealed'],['Deviant Lemuria'],['Unknown to the general populace of Earth'],['Dragona (sister)']
Ereshkigal,https://www.marvel.com/characters/ereshkigal-goddess,['Marvel Universe'],"['Queen of the Great Below, Goddess of the Underworld']",['Unrevealed'],['Unrevealed'],['The general of Earth was unaware of her existence'],"['Anu (father), Ki (Gaea, mother)']"
Eric Moreels,https://www.marvel.com/characters/eric-moreels,['Marvel Universe'],['None'],['Unrevealed'],['Unrevealed'],['No dual identity'],"['Sarah Moreels (wife, deceased)']"
Erik Killmonger,https://www.marvel.com/characters/erik-killmonger,,,,,,
Ernst,https://www.marvel.com/characters/ernst,['Marvel Universe'],['None'],['Various courses at Xavier Institute'],['Unrevealed'],['Secret'],['None']
Escapade,https://www.marvel.com/characters/escapade-shela-sexton,['Marvel Universe'],['Formerly an unrevealed deadname (name used pre-transition)'],['Some college courses'],"['Medford, Massachusetts']",['Presumably known to Krakoan authorities'],['Unidentified parents']
Eson,https://www.marvel.com/characters/eson,,,,,,
Eternals,https://www.marvel.com/characters/eternals,,,,,,
